               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11538,            0.028796,            0.041015,           0.0028229,            0.030303,          0.00071806,          0.00014021,            0.073053,            0.012028,            0.029228,             0.00011,             0.00011,             0.09901
                   1,             0.10652,            0.029476,            0.039222,           0.0016052,            0.015152,          0.00055236,          8.7757e-05,            0.065589,            0.010609,            0.028187,          0.00022943,          0.00022943,            0.097929
                   2,             0.09824,            0.030888,            0.036298,           0.0013957,            0.037879,          0.00063325,           0.0001033,            0.063218,           0.0094915,            0.025495,          0.00034656,          0.00034656,            0.096847
                   3,            0.093676,            0.032732,            0.033653,          0.00088432,            0.045455,          0.00060957,           0.0001412,            0.058165,           0.0089462,            0.025298,          0.00045965,          0.00045965,             0.09576
                   4,            0.090761,            0.031672,            0.033494,           0.0011178,             0.05303,          0.00093722,          0.00016171,            0.055395,           0.0083498,            0.023827,          0.00056705,          0.00056705,            0.094667
                   5,            0.086532,            0.034501,            0.030118,            0.010351,            0.015152,           0.0027211,          0.00045019,            0.054193,           0.0082143,            0.023218,           0.0006672,           0.0006672,            0.093567
                   6,            0.082246,             0.03461,             0.02804,             0.34503,            0.015152,           0.0034779,           0.0007447,            0.050189,           0.0076543,            0.022113,          0.00075867,          0.00075867,            0.092459
                   7,            0.081225,            0.036949,            0.030368,             0.69958,            0.030303,            0.010994,            0.002356,            0.045534,           0.0074477,            0.020449,          0.00084019,          0.00084019,             0.09134
                   8,            0.075823,            0.037458,            0.026151,             0.69897,            0.030303,           0.0082433,           0.0021577,            0.046011,           0.0076679,            0.020298,          0.00091069,          0.00091069,            0.090211
                   9,            0.072662,            0.035014,            0.026166,             0.69427,             0.10606,            0.015514,           0.0049772,            0.042944,            0.007415,            0.019005,          0.00096926,          0.00096926,            0.089069
                  10,            0.070591,            0.034919,            0.027551,             0.71237,             0.10606,            0.021734,           0.0077794,            0.043318,           0.0081289,            0.020381,           0.0010153,           0.0010153,            0.087915
                  11,            0.067186,             0.03549,            0.024543,             0.71039,             0.13636,            0.023902,            0.011088,            0.041914,           0.0087022,            0.020358,           0.0010482,           0.0010482,            0.086748
                  12,            0.064339,            0.033574,            0.025122,             0.71556,             0.15909,            0.030876,            0.014578,            0.038385,           0.0082114,            0.018497,            0.001068,            0.001068,            0.085568
                  13,            0.060997,            0.033062,             0.02229,             0.71884,             0.15909,            0.038594,            0.017049,            0.036193,           0.0077986,            0.018754,           0.0010747,           0.0010747,            0.084375
                  14,            0.061178,            0.034692,            0.022153,             0.75635,            0.044653,            0.039338,            0.018782,            0.038132,           0.0073653,            0.018447,           0.0010687,           0.0010687,            0.083169
                  15,            0.059364,            0.030466,            0.022181,             0.70665,             0.13636,            0.042551,           0.0087164,            0.036728,           0.0069257,            0.017782,           0.0010505,           0.0010505,            0.081951
                  16,            0.061073,            0.029817,            0.025523,             0.72423,             0.17424,            0.057097,            0.034033,            0.034944,           0.0070948,            0.017749,            0.001021,            0.001021,            0.080721
                  17,            0.056642,            0.031243,            0.023373,             0.71478,             0.14394,            0.042021,            0.012472,            0.036567,            0.006969,            0.016039,          0.00098135,          0.00098135,            0.079481
                  18,            0.056114,            0.030664,            0.019448,              0.7203,             0.12121,            0.040289,            0.021267,            0.033316,            0.007183,            0.018496,          0.00093284,          0.00093284,            0.078233
                  19,            0.055576,            0.028984,            0.021423,             0.72591,             0.17424,            0.055668,            0.032539,            0.030985,           0.0070883,            0.017455,          0.00087705,          0.00087705,            0.076977
