               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11266,            0.024859,            0.037124,          0.00024885,              0.3303,          0.00019734,          3.0712e-05,            0.056274,           0.0083527,            0.019946,             0.00022,             0.00022,             0.09802
                   1,            0.098528,            0.027365,            0.035417,           0.0011285,             0.12121,          0.00083729,          0.00013125,            0.049372,           0.0080058,            0.019139,          0.00044557,          0.00044557,            0.095946
                   2,            0.089478,            0.033897,            0.033771,           0.0054091,             0.11364,           0.0035236,          0.00061586,            0.044863,           0.0076253,            0.018589,          0.00065354,          0.00065354,            0.093854
                   3,            0.083674,            0.032669,            0.031922,            0.013345,             0.11364,           0.0092943,           0.0030158,             0.04029,            0.007758,            0.017558,          0.00083179,          0.00083179,            0.091732
                   4,            0.079204,            0.035294,            0.030062,             0.68258,             0.12879,             0.01038,           0.0030012,            0.037173,           0.0074378,            0.016407,          0.00097026,          0.00097026,             0.08957
                   5,            0.074127,            0.035125,            0.027527,             0.70846,             0.13636,            0.024191,            0.010099,            0.035179,            0.006848,            0.015748,           0.0010617,           0.0010617,            0.087362
                   6,            0.069702,            0.032944,            0.027756,              0.7217,             0.16667,            0.038041,            0.017285,            0.031155,           0.0069064,            0.014732,           0.0011025,           0.0011025,            0.085102
                   7,            0.065169,            0.036025,            0.024136,             0.71911,             0.17424,            0.041355,            0.021897,            0.030231,           0.0069955,             0.01424,           0.0010926,           0.0010926,            0.082793
                   8,            0.062878,            0.029389,            0.024343,             0.72254,             0.11364,            0.039829,            0.017697,             0.02896,           0.0070482,            0.013844,           0.0010361,           0.0010361,            0.080436
                   9,            0.060019,             0.03103,            0.024635,             0.70293,             0.16667,            0.032391,            0.014696,            0.028728,           0.0070658,            0.013404,          0.00094106,          0.00094106,            0.078041
                  10,            0.059073,            0.031877,            0.023543,             0.71023,             0.15152,             0.03622,            0.015657,            0.027414,           0.0069069,             0.01333,            0.000819,            0.000819,            0.075619
                  11,            0.056162,            0.030283,            0.022617,              0.7088,             0.16667,            0.040793,             0.01904,            0.025604,           0.0069471,            0.013238,          0.00068445,          0.00068445,            0.073184
                  12,            0.054639,            0.031131,            0.021952,             0.72022,             0.21897,             0.04965,            0.024057,            0.023933,           0.0069895,            0.012926,          0.00055411,          0.00055411,            0.070754
                  13,            0.055828,            0.028797,            0.022821,             0.71513,             0.19697,             0.05112,            0.028269,            0.023635,            0.006945,            0.012895,          0.00044588,          0.00044588,            0.068346
                  14,            0.052733,            0.030435,            0.021877,             0.71811,             0.18801,            0.051979,            0.031291,            0.022041,           0.0069271,            0.012818,          0.00037783,          0.00037783,            0.065978
